town_city,main_location,second_location,address,longitude,latitude,Country,Date of first event,numbers,Site of protest for more than one day?,Source of number estimate
A Coruña,Plaza de Pontevedra,,"A Coruña,Plaza de Pontevedra,Spain",-8.627410,42.428246,Spain,5/15/2011,5000,Yes,http://www.vtelevision.es/informativos/2011/10/15/0031_26_102972.htm
Ahmedabad,,,"Ahmedabad,,India",87.804130,25.282870,India,October 21st,few 10s of people,No,
"Akron, OH",Cascade Plaza,,"Akron, OH,Cascade Plaza,United States",-101.957064,48.023180,United States,10/15/2011,20,Yes,http://www.mediaite.com/online/occupy-grand-forks-occupy-scranton-occupy-wall-street-goes-nationwide/
Amersfoort,Burgemeester Brouwerplantsoen,,"Amersfoort,Burgemeester Brouwerplantsoen,The Netherlands",5.386080,52.152321,The Netherlands,22 oktober 2011,83,Yes,https://www.facebook.com/lists/307668895912990#!/groups/265413156828578/
"Anaheim, California",Chase Manhattan Bank,,"Anaheim, California,Chase Manhattan Bank,USA",-71.837894,42.750565,USA,10/10/2011,75,Yes,http://www.ocregister.com/articles/bank-321258-protestors-chase.html
Antarctica,tundra,,"Antarctica,tundra,Antarctica",0.000000,-81.500000,Antarctica,10/15/2011,7,Yes,http://www.washingtonpost.com/rf/image_606w/WashingtonPost/Content/Blogs/blogpost/201110/Images/occupyantarctica.jpg?uuid=36TvcvmSEeCvhYhGIVt8PQ
Antartica,research station,,"Antartica,research station,Antartica",-69.258095,-55.168789,Antartica,10/15/2011,10/15/2011,Yes,http://www.neatorama.com/2011/10/18/occupy-antarctica/
Appleton,College Ave.,,"Appleton,College Ave.,United States",-82.529541,33.192508,United States,10/15/2011,200,Yes,http://www.postcrescent.com/apps/pbcs.dll/article?AID=2011110160636
arcata,humboldt state university,,"arcata,humboldt state university,usa",-124.078712,40.876308,usa,1/10/2011,100,Yes,http://www.facebook.com/pages/Occupy-Arcata/220016521390780
Arcata,Plaza,university,"Arcata,Plaza,USA",-101.957064,48.023180,USA,10/15/2011,not sure,Yes,http://www.facebook.com/pages/Occupy-Arcata/220016521390780
